#bin. KALJ data file T=0.5 

1000 atoms
2 atom types

0 9.4 xlo xhi
0 9.4 ylo yhi
0 9.4 zlo zhi

Masses

1 1.0
2 1.0

Atoms

1 1 2.24399 2.3078 9.07631
2 1 8.54631 2.43192 8.67359
3 1 4.01033 5.12236 2.14976
4 1 6.15492 6.38504 9.27094
5 1 2.36829 8.60606 3.93624
6 1 6.47778 0.36863 7.70825
7 1 1.34014 7.96926 8.63545
8 1 4.20864 3.12223 6.81087
9 1 2.82907 2.96527 4.47622
10 1 8.35864 8.60922 8.6709
11 1 0.82792 3.11329 8.94128
12 1 7.56733 1.45556 1.9852
13 1 8.12555 2.02075 4.87784
14 1 3.67511 5.32943 0.0631029
15 1 8.71502 3.30005 1.18919
16 1 1.87861 0.499826 6.69039
17 1 8.4914 3.99084 7.35168
18 1 8.14311 7.09546 0.00166983
19 1 3.72724 0.921448 8.04473
20 1 4.03029 2.50518 7.65504
21 1 0.694405 3.03205 2.90455
22 1 3.29109 4.625 5.88718
23 1 5.92038 2.12027 8.25887
24 1 3.22203 6.64146 5.89248
25 1 5.97332 1.95432 7.1645
26 1 0.192825 0.515777 5.11022
27 1 7.22344 8.32204 8.60395
28 1 3.55249 3.60289 6.10751
29 1 0.50758 4.64207 7.95255
30 1 9.2691 2.31999 3.10924
31 1 0.354594 3.84622 3.94718
32 1 4.11518 1.46741 5.26533
33 1 1.84547 3.34693 9.1538
34 1 7.24816 7.53287 2.38556
35 1 7.91631 8.47835 5.85714
36 1 8.96138 6.4703 1.88445
37 1 6.23659 3.86232 1.95493
38 1 1.73107 9.32717 2.47033
39 1 2.26417 7.00971 6.24858
40 1 2.11281 0.576648 0.380382
41 1 5.84158 0.270328 6.94407
42 1 0.553013 7.83904 7.15632
43 1 3.28087 1.30351 2.28181
44 1 5.69654 2.58624 4.52224
45 1 4.39309 1.02563 6.15452
46 1 1.15017 7.87528 2.80062
47 1 3.25507 6.03439 6.81232
48 1 7.63218 4.24768 2.38211
49 1 4.11338 4.23535 5.35151
50 1 8.98347 9.2867 3.00082
51 1 5.48177 5.55808 4.41577
52 1 5.16808 2.4888 0.889394
53 1 6.52638 2.89404 5.32777
54 1 8.43769 6.5122 7.44691
55 1 1.28635 2.36748 6.60439
56 1 2.62277 4.08798 6.50928
57 1 0.0306173 0.419313 6.98904
58 1 0.00268879 7.64353 0.306232
59 1 9.29146 9.32187 5.9818
60 1 9.13071 5.75133 0.169255
61 1 6.03466 5.75084 2.02696
62 1 0.883086 1.42426 2.04347
63 1 3.99119 4.54213 7.83298
64 1 4.80214 6.14809 7.96318
65 1 3.03212 2.59904 0.211118
66 1 5.4071 5.39732 8.50228
67 1 4.68199 7.04475 2.66806
68 1 2.4792 6.60897 8.35791
69 1 4.52213 3.47738 8.84129
70 1 0.850416 2.91121 4.012
71 1 7.49796 5.2262 8.9115
72 1 6.11949 6.82843 1.56009
73 1 2.32499 5.72997 1.40945
74 1 5.1452 7.10772 8.40417
75 1 1.06454 8.37777 4.13348
76 1 5.48909 1.79512 3.83685
77 1 3.45189 3.88729 7.19572
